SK1_cnae_principal,Soma de cod_cnae_principal,dsc_cnae_principal,dt_carga
187,4645101,COMERCIO ATACADISTA DE INSTRUMENTOS E MATERIAIS PARA USO MEDICO CIRURGICO HOSPITALAR E DE LABORATORIOS,2023-06-03 01:16:22
188,4649410,COMERCIO ATACADISTA DE JOIAS RELOGIOS E BIJUTERIAS INCLUSIVE PEDRAS PRECIOSAS E SEMIPRECIOSAS LAPIDADAS,2023-06-03 01:16:22
189,4631100,COMERCIO ATACADISTA DE LEITE E LATICINIOS,2023-06-03 01:16:22
190,4649406,COMERCIO ATACADISTA DE LUSTRES LUMINARIAS E ABAJURES DISPENSADA,2023-06-03 01:16:22
191,4671100,COMERCIO ATACADISTA DE MADEIRA E PRODUTOS DERIVADOS,2023-06-03 01:16:22
192,4661300,COMERCIO ATACADISTA DE MAQUINAS APARELHOS E EQUIPAMENTOS PARA USO AGROPECUARIO PARTES E PECAS,2023-06-03 01:16:22
193,4664800,COMERCIO ATACADISTA DE MAQUINAS APARELHOS E EQUIPAMENTOS PARA USO ODONTO MEDICO HOSPITALAR PARTES E PECAS,2023-06-03 01:16:22
194,4665600,COMERCIO ATACADISTA DE MAQUINAS E EQUIPAMENTOS PARA USO COMERCIAL PARTES E PECAS,2023-06-03 01:16:22
195,4663000,COMERCIO ATACADISTA DE MAQUINAS E EQUIPAMENTOS PARA USO INDUSTRIAL PARTES E PECAS,2023-06-03 01:16:22
196,4662100,COMERCIO ATACADISTA DE MAQUINAS EQUIPAMENTOS PARA TERRAPLENAGEM MINERACAO E CONSTRUCAO PARTES E PECAS,2023-06-03 01:16:22
197,4679602,COMERCIO ATACADISTA DE MARMORES E GRANITOS,2023-06-03 01:16:22
198,4637105,COMERCIO ATACADISTA DE MASSAS ALIMENTICIAS,2023-06-03 01:16:22
199,4679699,COMERCIO ATACADISTA DE MATERIAIS DE CONSTRUCAO EM GERAL,2023-06-03 01:16:22
200,4673700,COMERCIO ATACADISTA DE MATERIAL ELETRICO,2023-06-03 01:16:22
201,4623199,COMERCIO ATACADISTA DE MATERIAS PRIMAS AGRICOLAS NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
202,4644301,COMERCIO ATACADISTA DE MEDICAMENTOS E DROGAS DE USO HUMANO,2023-06-03 01:16:22
203,4692300,COMERCIO ATACADISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE INSUMOS AGROPECUARIOS,2023-06-03 01:16:22
204,4691500,COMERCIO ATACADISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS,2023-06-03 01:16:22
205,4693100,COMERCIO ATACADISTA DE MERCADORIAS EM GERAL SEM PREDOMINANCIA DE ALIMENTOS OU DE INSUMOS AGROPECUARIOS,2023-06-03 01:16:22
206,4669999,COMERCIO ATACADISTA DE OUTRAS MAQUINAS E EQUIPAMENTOS NAO ESPECIFICADOS ANTERIORMENTE PARTES E PECAS,2023-06-03 01:16:22
207,4649499,COMERCIO ATACADISTA DE OUTROS EQUIPAMENTOS E ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
208,4684299,COMERCIO ATACADISTA DE OUTROS PRODUTOS QUIMICOS E PETROQUIMICOS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
209,4686901,COMERCIO ATACADISTA DE PAPEL E PAPELAO EM BRUTO,2023-06-03 01:16:22
210,4634603,COMERCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR,2023-06-03 01:16:22
211,4639701,COMERCIO ATACADISTA DE PRODUTOS ALIMENTICIOS EM GERAL,2023-06-03 01:16:22
212,4639701,COMERCIO ATACADISTA DE PRODUTOS ALIMENTICIOS EM GERAL DISPENSADA,2023-06-03 01:16:22
213,4689301,COMERCIO ATACADISTA DE PRODUTOS DA EXTRACAO MINERAL EXCETO COMBUSTIVEIS,2023-06-03 01:16:22
214,4649408,COMERCIO ATACADISTA DE PRODUTOS DE HIGIENE LIMPEZA E CONSERVACAO DOMICILIAR,2023-06-03 01:16:22
215,4646002,COMERCIO ATACADISTA DE PRODUTOS DE HIGIENE PESSOAL,2023-06-03 01:16:22
216,4645103,COMERCIO ATACADISTA DE PRODUTOS ODONTOLOGICOS,2023-06-03 01:16:22
217,4685100,COMERCIO ATACADISTA DE PRODUTOS SIDERURGICOS E METALURGICOS EXCETO PARA CONSTRUCAO,2023-06-03 01:16:22
218,4687701,COMERCIO ATACADISTA DE RESIDUOS DE PAPEL E PAPELAO,2023-06-03 01:16:22
219,4687703,COMERCIO ATACADISTA DE RESIDUOS E SUCATAS METALICOS,2023-06-03 01:16:22
220,4687702,COMERCIO ATACADISTA DE RESIDUOS E SUCATAS NAO METALICOS EXCETO DE PAPEL E PAPELAO,2023-06-03 01:16:22
221,4684201,COMERCIO ATACADISTA DE RESINAS E ELASTOMEROS,2023-06-03 01:16:22
222,4623106,COMERCIO ATACADISTA DE SEMENTES FLORES PLANTAS E GRAMAS,2023-06-03 01:16:22
223,4622200,COMERCIO ATACADISTA DE SOJA,2023-06-03 01:16:22
224,4637106,COMERCIO ATACADISTA DE SORVETES,2023-06-03 01:16:22
225,4651602,COMERCIO ATACADISTA DE SUPRIMENTOS PARA INFORMATICA,2023-06-03 01:16:22
226,4641901,COMERCIO ATACADISTA DE TECIDOS,2023-06-03 01:16:22
