cnpj,razao_social,cod_acao_reduzido,cod_acao,dt_abertura,matriz_empresa,endereco_municipio,endereco_uf,endereco_regiao,situacao_cadastral,optante_simples,optante_simei,dt_carga
48195430000132,NI,NI,NI,2022-10-05 00:00:00,true,SUMIDOURO,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48203912000197,NI,NI,NI,2022-10-06 00:00:00,true,NAVEGANTES,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48205478000184,NI,NI,NI,2022-10-06 00:00:00,true,PARNAMIRIM,RN,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48208079000177,NI,NI,NI,2022-10-06 00:00:00,true,FORTALEZA,CE,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48210557000183,NI,NI,NI,2022-10-06 00:00:00,true,SAO FELIX DO XINGU,PA,NORTE,ATIVA,NI,NI,2023-06-01 17:20:11
48210563000130,NI,NI,NI,2022-10-06 00:00:00,true,PONTA GROSSA,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48218845000184,NI,NI,NI,2022-10-07 00:00:00,true,IUNA,ES,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48224134000112,NI,NI,NI,2021-11-26 00:00:00,true,RIBEIRAO PRETO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48224864000113,NI,NI,NI,2022-10-07 00:00:00,true,CAMARAGIBE,PE,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48229485000116,NI,NI,NI,2022-10-07 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48233931000166,NI,NI,NI,2022-10-09 00:00:00,true,RIO DAS OSTRAS,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48234544000144,NI,NI,NI,2022-10-09 00:00:00,true,BELO HORIZONTE,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48234723000181,NI,NI,NI,2022-10-09 00:00:00,true,VITORIA DA CONQUISTA,BA,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48236812000167,NI,NI,NI,2022-10-10 00:00:00,true,ANAPOLIS,GO,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48241261000120,NI,NI,NI,2022-10-10 00:00:00,true,RIO DE JANEIRO,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48241856000185,NI,NI,NI,2022-10-10 00:00:00,true,CABREUVA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48246752000163,NI,NI,NI,2022-10-10 00:00:00,true,CAMPINAS,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48248097000182,NI,NI,NI,2022-10-10 00:00:00,true,REGISTRO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48248236000178,NI,NI,NI,2022-10-10 00:00:00,true,BALNEARIO CAMBORIU,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48249230000115,NI,NI,NI,2022-10-10 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48250040000118,NI,NI,NI,2022-10-10 00:00:00,true,SANT ANA DO LIVRAMENTO,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48251345000144,NI,NI,NI,2022-10-11 00:00:00,true,VOLTA REDONDA,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48253130000162,NI,NI,NI,2022-10-11 00:00:00,true,SAO LUDGERO,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48253664000199,NI,NI,NI,2022-10-11 00:00:00,true,BELO HORIZONTE,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48256649000102,NI,NI,NI,2022-10-11 00:00:00,true,CALDAS NOVAS,GO,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48257437000131,NI,NI,NI,2022-10-11 00:00:00,true,CANAA DOS CARAJAS,PA,NORTE,ATIVA,NI,NI,2023-06-01 17:20:11
