cnpj;dsc_porte;dt_carga
04308825000390;Pequena;04/06/2023
04309552000137;Pequena;04/06/2023
04319631000129;Micro;04/06/2023
04344734000149;Micro;04/06/2023
04349432000163;Micro;04/06/2023
04361897000130;Pequena;04/06/2023
04365093000109;Micro;04/06/2023
04365532001074;Media;04/06/2023
04366210000159;Micro;04/06/2023
04371204000190;Pequena;04/06/2023
04373005000110;Mei;04/06/2023
04392668000182;Media;04/06/2023
04393169000100;Micro;04/06/2023
04395846000129;Micro;04/06/2023
04396275000147;Pequena;04/06/2023
04398930000104;Pequena;04/06/2023
04400843000136;Micro;04/06/2023
04414600000157;Micro;04/06/2023
04420433000157;Pequena;04/06/2023
04423567000121;Grande;04/06/2023
04428783000160;Mei;04/06/2023
04443018000119;Micro;04/06/2023
04444783000153;Pequena;04/06/2023
04449030050405;Grande;04/06/2023
04449030055113;Grande;04/06/2023
04451623000131;Micro;04/06/2023
04457846000106;Pequena;04/06/2023
04478297000156;Micro;04/06/2023
04481556000106;Micro;04/06/2023
04494945000168;Mei;04/06/2023
04510707000280;Media;04/06/2023
04518251000113;Micro;04/06/2023
04519089000158;Micro;04/06/2023
04536901000153;Pequena;04/06/2023
04537785000197;Mei;04/06/2023
04556589000160;Micro;04/06/2023
04560012000121;Micro;04/06/2023
04561842000173;Media;04/06/2023
04563203000147;Micro;04/06/2023
04564530001357;Grande;04/06/2023
04565760000105;Micro;04/06/2023
04569071000160;Media;04/06/2023
04582766000182;Pequena;04/06/2023
04583623000195;Micro;04/06/2023
04595529000156;Mei;04/06/2023
04606850000199;Micro;04/06/2023
04609454000115;Grande;04/06/2023
04611353000189;Micro;04/06/2023
04615649000178;Micro;04/06/2023
04619820000117;Micro;04/06/2023
04626426000700;Grande;04/06/2023
04629583000175;Micro;04/06/2023
04635006000196;Micro;04/06/2023
04643924000167;Micro;04/06/2023
04650687000161;Pequena;04/06/2023
04659020000120;Micro;04/06/2023
04662387000100;Mei;04/06/2023
04677780000160;Pequena;04/06/2023
04707836000181;Micro;04/06/2023
04712710000103;Micro;04/06/2023
04718231000510;Media;04/06/2023
04721425000140;Micro;04/06/2023
04723044000109;Micro;04/06/2023
