cnpj;dsc_saude_tributaria;dt_carga
05620476000149;Vermelho;04/06/2023
05622087000152;Vermelho;04/06/2023
05626900000162;Cinza;04/06/2023
05629537000139;Vermelho;04/06/2023
05642430000120;Cinza;04/06/2023
05642504000129;Verde;04/06/2023
05643667000126;Cinza;04/06/2023
05644936000179;Verde;04/06/2023
05646969000158;Verde;04/06/2023
05651449000133;Cinza;04/06/2023
05672031000102;Cinza;04/06/2023
05685381000103;Cinza;04/06/2023
05687069000159;Verde;04/06/2023
05688706000101;Cinza;04/06/2023
05691943000121;Cinza;04/06/2023
05692980000154;Cinza;04/06/2023
05699339000141;Cinza;04/06/2023
05713128003565;Cinza;04/06/2023
05737355000424;Cinza;04/06/2023
05745227000180;Cinza;04/06/2023
05756095000191;Vermelho;04/06/2023
05779149000134;Vermelho;04/06/2023
05782171000133;Cinza;04/06/2023
05788896000139;Verde;04/06/2023
05791427000179;Cinza;04/06/2023
05799312000120;Verde;04/06/2023
05800256004860;Ni;04/06/2023
05801566000136;Cinza;04/06/2023
05802397000159;Cinza;04/06/2023
05806078000200;Verde;04/06/2023
05812089000104;Cinza;04/06/2023
05815689000126;Cinza;04/06/2023
05828732018801;Ni;04/06/2023
05829040000164;Cinza;04/06/2023
05829303000135;Verde;04/06/2023
05830407000160;Cinza;04/06/2023
05830656000155;Cinza;04/06/2023
05841375000106;Cinza;04/06/2023
05843316000169;Cinza;04/06/2023
05844054000157;Cinza;04/06/2023
05874658000146;Cinza;04/06/2023
05878397000132;Vermelho;04/06/2023
05881258000168;Cinza;04/06/2023
05893647000103;Vermelho;04/06/2023
05901702000321;Cinza;04/06/2023
05917486000140;Verde;04/06/2023
05919841000110;Cinza;04/06/2023
05942554000121;Verde;04/06/2023
05947081000155;Verde;04/06/2023
05949688000174;Cinza;04/06/2023
05969571000152;Cinza;04/06/2023
05972103000218;Cinza;04/06/2023
05974846000146;Cinza;04/06/2023
05976793000100;Cinza;04/06/2023
05993060000176;Verde;04/06/2023
05994128000131;Cinza;04/06/2023
05995557000123;Vermelho;04/06/2023
05996122001094;Cinza;04/06/2023
05998426000108;Verde;04/06/2023
06001620000121;Cinza;04/06/2023
06006254000101;Cinza;04/06/2023
06006280000121;Cinza;04/06/2023
06006508000183;Cinza;04/06/2023
06010362000140;Cinza;04/06/2023
