cnpj;optante_simples;optante_simei;dt_carga
03921801000188;false;false;04/06/2023
03925669000182;false;false;04/06/2023
03931322000142;true;false;04/06/2023
03932942000104;false;false;04/06/2023
03938971000175;false;false;04/06/2023
03942255000161;false;false;04/06/2023
03946153000114;true;false;04/06/2023
03946325000150;false;false;04/06/2023
03949507000184;false;false;04/06/2023
03956712000177;false;false;04/06/2023
03975556000949;NI;NI;04/06/2023
03983431000103;false;false;04/06/2023
03987769000133;true;false;04/06/2023
03991307000190;false;false;04/06/2023
03992917000108;false;false;04/06/2023
03996096000188;true;false;04/06/2023
04008342000966;NI;NI;04/06/2023
04012936000193;true;false;04/06/2023
04019367000108;false;false;04/06/2023
04019503000160;false;false;04/06/2023
04023142000125;false;false;04/06/2023
04030182000102;false;false;04/06/2023
04031213000131;false;false;04/06/2023
04031259000150;true;false;04/06/2023
04034297000167;false;false;04/06/2023
04041961000103;false;false;04/06/2023
04056734000224;NI;NI;04/06/2023
04059089000112;true;false;04/06/2023
04065791000199;false;false;04/06/2023
04079126000154;false;false;04/06/2023
04084225000124;false;false;04/06/2023
04085961000105;true;false;04/06/2023
04087070001402;NI;NI;04/06/2023
04098240000121;true;false;04/06/2023
04099894000170;false;false;04/06/2023
04100247000130;true;false;04/06/2023
04105937000697;false;false;04/06/2023
04111187000151;false;false;04/06/2023
04118240000146;true;false;04/06/2023
04136938000275;NI;NI;04/06/2023
04149454000180;false;false;04/06/2023
04151219000142;true;false;04/06/2023
04165359000170;false;false;04/06/2023
04172041000116;false;false;04/06/2023
04178803000191;false;false;04/06/2023
04193384000167;false;false;04/06/2023
04193584000110;true;false;04/06/2023
04195220000179;true;false;04/06/2023
04197051000106;false;false;04/06/2023
04197399000101;true;false;04/06/2023
04219777000283;false;false;04/06/2023
04227596000118;false;false;04/06/2023
04228987012597;false;false;04/06/2023
04236064001038;false;false;04/06/2023
04241320000194;false;false;04/06/2023
04245644000109;true;false;04/06/2023
04246204000168;false;false;04/06/2023
04247306000106;false;false;04/06/2023
04251447000194;false;false;04/06/2023
04257490000167;false;false;04/06/2023
